Arm,Reward,Algorithm
245,1,Thompson Sampling
246,1,Thompson Sampling
247,1,Thompson Sampling
248,1,Thompson Sampling
249,1,Thompson Sampling
250,1,Thompson Sampling
251,1,Thompson Sampling
252,1,Thompson Sampling
253,1,Thompson Sampling
254,0,Thompson Sampling
255,1,Thompson Sampling
256,1,Thompson Sampling
257,1,Thompson Sampling
258,1,Thompson Sampling
259,1,Thompson Sampling
260,1,Thompson Sampling
261,1,Thompson Sampling
262,1,Thompson Sampling
263,1,Thompson Sampling
264,1,Thompson Sampling
265,1,Thompson Sampling
266,1,Thompson Sampling
267,0,Thompson Sampling
268,0,Thompson Sampling
269,1,Thompson Sampling
270,1,Thompson Sampling
271,1,Thompson Sampling
272,1,Thompson Sampling
273,1,Thompson Sampling
274,1,Thompson Sampling
275,1,Thompson Sampling
276,1,Thompson Sampling
277,1,Thompson Sampling
278,1,Thompson Sampling
279,1,Thompson Sampling
280,1,Thompson Sampling
281,1,Thompson Sampling
282,1,Thompson Sampling
283,1,Thompson Sampling
284,1,Thompson Sampling
285,1,Thompson Sampling
286,0,Thompson Sampling
287,1,Thompson Sampling
288,1,Thompson Sampling
289,1,Thompson Sampling
290,0,Thompson Sampling
291,1,Thompson Sampling
292,1,Thompson Sampling
293,1,Thompson Sampling
294,0,Thompson Sampling
295,1,Thompson Sampling
296,1,Thompson Sampling
297,1,Thompson Sampling
298,1,Thompson Sampling
299,1,Thompson Sampling
300,1,Thompson Sampling
301,1,Thompson Sampling
302,1,Thompson Sampling
303,0,Thompson Sampling
304,1,Thompson Sampling
305,1,Thompson Sampling
306,1,Thompson Sampling
307,1,Thompson Sampling
308,1,Thompson Sampling
309,1,Thompson Sampling
310,1,Thompson Sampling
311,1,Thompson Sampling
312,1,Thompson Sampling
313,1,Thompson Sampling
314,1,Thompson Sampling
315,0,Thompson Sampling
316,1,Thompson Sampling
317,1,Thompson Sampling
318,1,Thompson Sampling
319,1,Thompson Sampling
320,1,Thompson Sampling
321,1,Thompson Sampling
322,1,Thompson Sampling
323,0,Thompson Sampling
324,1,Thompson Sampling
325,1,Thompson Sampling
326,1,Thompson Sampling
327,1,Thompson Sampling
328,0,Thompson Sampling
329,1,Thompson Sampling
330,1,Thompson Sampling
331,1,Thompson Sampling
332,1,Thompson Sampling
333,1,Thompson Sampling
334,0,Thompson Sampling
335,1,Thompson Sampling
336,1,Thompson Sampling
337,1,Thompson Sampling
338,1,Thompson Sampling
339,1,Thompson Sampling
340,1,Thompson Sampling
341,1,Thompson Sampling
342,1,Thompson Sampling
343,1,Thompson Sampling
344,1,Thompson Sampling
345,1,Thompson Sampling
346,1,Thompson Sampling
347,1,Thompson Sampling
348,1,Thompson Sampling
349,1,Thompson Sampling
350,1,Thompson Sampling
351,0,Thompson Sampling
352,0,Thompson Sampling
353,1,Thompson Sampling
354,1,Thompson Sampling
355,1,Thompson Sampling
356,1,Thompson Sampling
357,0,Thompson Sampling
358,1,Thompson Sampling
359,1,Thompson Sampling
360,1,Thompson Sampling
361,0,Thompson Sampling
362,1,Thompson Sampling
363,0,Thompson Sampling
364,0,Thompson Sampling
365,1,Thompson Sampling
366,1,Thompson Sampling
367,1,Thompson Sampling
368,1,Thompson Sampling
369,1,Thompson Sampling
370,1,Thompson Sampling
371,1,Thompson Sampling
372,1,Thompson Sampling
373,1,Thompson Sampling
374,1,Thompson Sampling
375,1,Thompson Sampling
376,1,Thompson Sampling
377,1,Thompson Sampling
378,1,Thompson Sampling
379,1,Thompson Sampling
380,1,Thompson Sampling
381,0,Thompson Sampling
382,1,Thompson Sampling
383,1,Thompson Sampling
384,1,Thompson Sampling
385,1,Thompson Sampling
386,1,Thompson Sampling
387,1,Thompson Sampling
388,1,Thompson Sampling
389,1,Thompson Sampling
390,1,Thompson Sampling
391,0,Thompson Sampling
392,1,Thompson Sampling
393,1,Thompson Sampling
394,1,Thompson Sampling
395,1,Thompson Sampling
396,1,Thompson Sampling
397,1,Thompson Sampling
398,0,Thompson Sampling
399,1,Thompson Sampling
400,1,Thompson Sampling
401,1,Thompson Sampling
402,1,Thompson Sampling
403,1,Thompson Sampling
404,1,Thompson Sampling
405,1,Thompson Sampling
406,1,Thompson Sampling
407,1,Thompson Sampling
408,1,Thompson Sampling
409,1,Thompson Sampling
410,1,Thompson Sampling
411,1,Thompson Sampling
412,1,Thompson Sampling
413,0,Thompson Sampling
414,0,Thompson Sampling
415,1,Thompson Sampling
416,1,Thompson Sampling
417,0,Thompson Sampling
418,1,Thompson Sampling
419,1,Thompson Sampling
420,1,Thompson Sampling
421,1,Thompson Sampling
422,1,Thompson Sampling
423,1,Thompson Sampling
424,1,Thompson Sampling
425,1,Thompson Sampling
426,1,Thompson Sampling
427,1,Thompson Sampling
428,1,Thompson Sampling
429,1,Thompson Sampling
430,0,Thompson Sampling
431,1,Thompson Sampling
432,0,Thompson Sampling
433,1,Thompson Sampling
434,0,Thompson Sampling
435,1,Thompson Sampling
436,1,Thompson Sampling
437,1,Thompson Sampling
438,0,Thompson Sampling
439,0,Thompson Sampling
440,1,Thompson Sampling
441,1,Thompson Sampling
442,1,Thompson Sampling
443,1,Thompson Sampling
444,1,Thompson Sampling
445,1,Thompson Sampling
446,1,Thompson Sampling
447,1,Thompson Sampling
448,1,Thompson Sampling
449,1,Thompson Sampling
450,0,Thompson Sampling
451,1,Thompson Sampling
452,1,Thompson Sampling
453,1,Thompson Sampling
454,1,Thompson Sampling
455,0,Thompson Sampling
456,0,Thompson Sampling
457,0,Thompson Sampling
458,1,Thompson Sampling
459,1,Thompson Sampling
460,0,Thompson Sampling
461,0,Thompson Sampling
462,1,Thompson Sampling
463,1,Thompson Sampling
464,1,Thompson Sampling
465,0,Thompson Sampling
466,1,Thompson Sampling
467,1,Thompson Sampling
468,0,Thompson Sampling
469,1,Thompson Sampling
470,0,Thompson Sampling
471,1,Thompson Sampling
472,1,Thompson Sampling
473,1,Thompson Sampling
474,1,Thompson Sampling
475,0,Thompson Sampling
476,1,Thompson Sampling
477,1,Thompson Sampling
478,1,Thompson Sampling
479,0,Thompson Sampling
480,1,Thompson Sampling
481,0,Thompson Sampling
482,0,Thompson Sampling
483,1,Thompson Sampling
484,1,Thompson Sampling
485,1,Thompson Sampling
486,1,Thompson Sampling
487,1,Thompson Sampling
488,1,Thompson Sampling
489,1,Thompson Sampling
490,1,Thompson Sampling
491,1,Thompson Sampling
492,1,Thompson Sampling
493,1,Thompson Sampling
494,1,Thompson Sampling
495,1,Thompson Sampling
496,1,Thompson Sampling
497,1,Thompson Sampling
498,1,Thompson Sampling
499,1,Thompson Sampling
500,1,Thompson Sampling
501,1,Thompson Sampling
502,1,Thompson Sampling
503,0,Thompson Sampling
504,1,Thompson Sampling
505,1,Thompson Sampling
506,1,Thompson Sampling
507,1,Thompson Sampling
508,1,Thompson Sampling
509,0,Thompson Sampling
510,0,Thompson Sampling
511,1,Thompson Sampling
512,0,Thompson Sampling
513,0,Thompson Sampling
514,1,Thompson Sampling
515,1,Thompson Sampling
516,1,Thompson Sampling
517,1,Thompson Sampling
518,1,Thompson Sampling
519,1,Thompson Sampling
520,1,Thompson Sampling
521,1,Thompson Sampling
522,1,Thompson Sampling
523,1,Thompson Sampling
524,1,Thompson Sampling
525,1,Thompson Sampling
526,1,Thompson Sampling
527,1,Thompson Sampling
528,1,Thompson Sampling
529,1,Thompson Sampling
530,1,Thompson Sampling
531,1,Thompson Sampling
532,1,Thompson Sampling
533,1,Thompson Sampling
534,1,Thompson Sampling
535,1,Thompson Sampling
536,0,Thompson Sampling
537,1,Thompson Sampling
538,1,Thompson Sampling
539,0,Thompson Sampling
540,1,Thompson Sampling
541,1,Thompson Sampling
542,1,Thompson Sampling
543,0,Thompson Sampling
544,1,Thompson Sampling
545,0,Thompson Sampling
546,1,Thompson Sampling
547,1,Thompson Sampling
548,0,Thompson Sampling
549,1,Thompson Sampling
550,1,Thompson Sampling
551,0,Thompson Sampling
552,1,Thompson Sampling
553,1,Thompson Sampling
554,1,Thompson Sampling
555,1,Thompson Sampling
556,1,Thompson Sampling
557,1,Thompson Sampling
558,1,Thompson Sampling
559,1,Thompson Sampling
560,0,Thompson Sampling
561,1,Thompson Sampling
562,1,Thompson Sampling
563,1,Thompson Sampling
564,1,Thompson Sampling
565,1,Thompson Sampling
566,0,Thompson Sampling
567,0,Thompson Sampling
568,0,Thompson Sampling
569,1,Thompson Sampling
570,1,Thompson Sampling
571,1,Thompson Sampling
572,0,Thompson Sampling
573,1,Thompson Sampling
574,1,Thompson Sampling
575,0,Thompson Sampling
576,1,Thompson Sampling
577,1,Thompson Sampling
578,1,Thompson Sampling
579,0,Thompson Sampling
580,1,Thompson Sampling
581,1,Thompson Sampling
582,1,Thompson Sampling
583,1,Thompson Sampling
584,1,Thompson Sampling
585,1,Thompson Sampling
586,0,Thompson Sampling
587,0,Thompson Sampling
588,0,Thompson Sampling
589,1,Thompson Sampling
590,1,Thompson Sampling
591,1,Thompson Sampling
592,0,Thompson Sampling
593,0,Thompson Sampling
594,1,Thompson Sampling
595,1,Thompson Sampling
596,1,Thompson Sampling
597,1,Thompson Sampling
598,1,Thompson Sampling
599,0,Thompson Sampling
600,0,Thompson Sampling
601,1,Thompson Sampling
602,1,Thompson Sampling
603,1,Thompson Sampling
604,1,Thompson Sampling
605,1,Thompson Sampling
606,1,Thompson Sampling
607,1,Thompson Sampling
608,1,Thompson Sampling
609,1,Thompson Sampling
610,0,Thompson Sampling
611,0,Thompson Sampling
612,0,Thompson Sampling
613,1,Thompson Sampling
614,0,Thompson Sampling
615,1,Thompson Sampling
616,1,Thompson Sampling
617,0,Thompson Sampling
618,1,Thompson Sampling
619,1,Thompson Sampling
620,1,Thompson Sampling
621,1,Thompson Sampling
622,0,Thompson Sampling
623,1,Thompson Sampling
624,1,Thompson Sampling
625,1,Thompson Sampling
626,1,Thompson Sampling
627,1,Thompson Sampling
628,0,Thompson Sampling
629,1,Thompson Sampling
630,1,Thompson Sampling
631,1,Thompson Sampling
632,1,Thompson Sampling
633,0,Thompson Sampling
634,1,Thompson Sampling
635,1,Thompson Sampling
