Arm,Reward,Algorithm
212,1,Epsilon-Greedy
213,1,Epsilon-Greedy
214,1,Epsilon-Greedy
215,1,Epsilon-Greedy
216,1,Epsilon-Greedy
217,1,Epsilon-Greedy
218,1,Epsilon-Greedy
219,1,Epsilon-Greedy
220,0,Epsilon-Greedy
221,1,Epsilon-Greedy
222,1,Epsilon-Greedy
223,0,Epsilon-Greedy
224,1,Epsilon-Greedy
225,1,Epsilon-Greedy
226,1,Epsilon-Greedy
227,0,Epsilon-Greedy
228,0,Epsilon-Greedy
229,1,Epsilon-Greedy
230,1,Epsilon-Greedy
231,1,Epsilon-Greedy
232,1,Epsilon-Greedy
233,1,Epsilon-Greedy
234,1,Epsilon-Greedy
235,1,Epsilon-Greedy
236,1,Epsilon-Greedy
237,1,Epsilon-Greedy
238,0,Epsilon-Greedy
239,1,Epsilon-Greedy
240,1,Epsilon-Greedy
241,0,Epsilon-Greedy
242,1,Epsilon-Greedy
243,1,Epsilon-Greedy
244,1,Epsilon-Greedy
245,1,Epsilon-Greedy
246,0,Epsilon-Greedy
247,1,Epsilon-Greedy
248,1,Epsilon-Greedy
249,0,Epsilon-Greedy
250,1,Epsilon-Greedy
251,0,Epsilon-Greedy
252,1,Epsilon-Greedy
253,1,Epsilon-Greedy
254,1,Epsilon-Greedy
255,1,Epsilon-Greedy
256,1,Epsilon-Greedy
257,1,Epsilon-Greedy
258,1,Epsilon-Greedy
259,1,Epsilon-Greedy
260,1,Epsilon-Greedy
261,1,Epsilon-Greedy
262,0,Epsilon-Greedy
263,1,Epsilon-Greedy
264,1,Epsilon-Greedy
265,1,Epsilon-Greedy
266,1,Epsilon-Greedy
267,1,Epsilon-Greedy
268,1,Epsilon-Greedy
269,1,Epsilon-Greedy
270,1,Epsilon-Greedy
271,0,Epsilon-Greedy
272,1,Epsilon-Greedy
273,1,Epsilon-Greedy
274,1,Epsilon-Greedy
275,1,Epsilon-Greedy
276,0,Epsilon-Greedy
277,1,Epsilon-Greedy
278,1,Epsilon-Greedy
279,1,Epsilon-Greedy
280,1,Epsilon-Greedy
281,1,Epsilon-Greedy
282,1,Epsilon-Greedy
283,1,Epsilon-Greedy
284,1,Epsilon-Greedy
285,1,Epsilon-Greedy
286,1,Epsilon-Greedy
287,0,Epsilon-Greedy
288,1,Epsilon-Greedy
289,1,Epsilon-Greedy
290,1,Epsilon-Greedy
291,1,Epsilon-Greedy
292,1,Epsilon-Greedy
293,0,Epsilon-Greedy
294,1,Epsilon-Greedy
295,1,Epsilon-Greedy
296,1,Epsilon-Greedy
297,1,Epsilon-Greedy
298,1,Epsilon-Greedy
299,1,Epsilon-Greedy
300,0,Epsilon-Greedy
301,1,Epsilon-Greedy
302,1,Epsilon-Greedy
303,1,Epsilon-Greedy
304,1,Epsilon-Greedy
305,1,Epsilon-Greedy
306,1,Epsilon-Greedy
307,1,Epsilon-Greedy
308,0,Epsilon-Greedy
309,1,Epsilon-Greedy
310,1,Epsilon-Greedy
311,1,Epsilon-Greedy
312,0,Epsilon-Greedy
313,1,Epsilon-Greedy
314,0,Epsilon-Greedy
315,1,Epsilon-Greedy
316,1,Epsilon-Greedy
317,1,Epsilon-Greedy
318,1,Epsilon-Greedy
319,1,Epsilon-Greedy
320,1,Epsilon-Greedy
321,1,Epsilon-Greedy
322,1,Epsilon-Greedy
323,1,Epsilon-Greedy
324,1,Epsilon-Greedy
325,1,Epsilon-Greedy
326,1,Epsilon-Greedy
327,1,Epsilon-Greedy
328,1,Epsilon-Greedy
329,1,Epsilon-Greedy
330,1,Epsilon-Greedy
331,1,Epsilon-Greedy
332,1,Epsilon-Greedy
333,1,Epsilon-Greedy
334,1,Epsilon-Greedy
335,1,Epsilon-Greedy
336,1,Epsilon-Greedy
337,1,Epsilon-Greedy
338,1,Epsilon-Greedy
339,0,Epsilon-Greedy
340,1,Epsilon-Greedy
341,1,Epsilon-Greedy
342,1,Epsilon-Greedy
343,0,Epsilon-Greedy
344,1,Epsilon-Greedy
345,0,Epsilon-Greedy
346,1,Epsilon-Greedy
347,0,Epsilon-Greedy
348,1,Epsilon-Greedy
349,0,Epsilon-Greedy
350,1,Epsilon-Greedy
351,1,Epsilon-Greedy
352,1,Epsilon-Greedy
353,1,Epsilon-Greedy
354,1,Epsilon-Greedy
355,1,Epsilon-Greedy
356,1,Epsilon-Greedy
357,1,Epsilon-Greedy
358,1,Epsilon-Greedy
359,1,Epsilon-Greedy
360,1,Epsilon-Greedy
361,1,Epsilon-Greedy
362,0,Epsilon-Greedy
363,1,Epsilon-Greedy
364,0,Epsilon-Greedy
365,1,Epsilon-Greedy
366,1,Epsilon-Greedy
367,1,Epsilon-Greedy
368,1,Epsilon-Greedy
369,1,Epsilon-Greedy
370,1,Epsilon-Greedy
371,1,Epsilon-Greedy
372,1,Epsilon-Greedy
373,1,Epsilon-Greedy
374,1,Epsilon-Greedy
375,0,Epsilon-Greedy
376,0,Epsilon-Greedy
377,1,Epsilon-Greedy
378,0,Epsilon-Greedy
379,1,Epsilon-Greedy
380,1,Epsilon-Greedy
381,1,Epsilon-Greedy
382,1,Epsilon-Greedy
383,1,Epsilon-Greedy
384,1,Epsilon-Greedy
385,1,Epsilon-Greedy
386,1,Epsilon-Greedy
387,1,Epsilon-Greedy
388,1,Epsilon-Greedy
389,1,Epsilon-Greedy
390,1,Epsilon-Greedy
391,1,Epsilon-Greedy
392,1,Epsilon-Greedy
393,1,Epsilon-Greedy
394,1,Epsilon-Greedy
395,1,Epsilon-Greedy
396,1,Epsilon-Greedy
397,1,Epsilon-Greedy
398,0,Epsilon-Greedy
399,0,Epsilon-Greedy
400,1,Epsilon-Greedy
401,0,Epsilon-Greedy
402,1,Epsilon-Greedy
403,0,Epsilon-Greedy
404,1,Epsilon-Greedy
405,1,Epsilon-Greedy
406,1,Epsilon-Greedy
407,1,Epsilon-Greedy
408,1,Epsilon-Greedy
409,1,Epsilon-Greedy
410,0,Epsilon-Greedy
411,1,Epsilon-Greedy
412,1,Epsilon-Greedy
413,1,Epsilon-Greedy
414,1,Epsilon-Greedy
415,1,Epsilon-Greedy
416,1,Epsilon-Greedy
417,1,Epsilon-Greedy
418,1,Epsilon-Greedy
419,1,Epsilon-Greedy
420,0,Epsilon-Greedy
421,0,Epsilon-Greedy
422,0,Epsilon-Greedy
423,1,Epsilon-Greedy
424,1,Epsilon-Greedy
425,1,Epsilon-Greedy
426,1,Epsilon-Greedy
427,1,Epsilon-Greedy
428,0,Epsilon-Greedy
429,1,Epsilon-Greedy
430,1,Epsilon-Greedy
431,1,Epsilon-Greedy
432,0,Epsilon-Greedy
433,1,Epsilon-Greedy
434,1,Epsilon-Greedy
435,1,Epsilon-Greedy
436,1,Epsilon-Greedy
437,0,Epsilon-Greedy
438,0,Epsilon-Greedy
439,1,Epsilon-Greedy
440,0,Epsilon-Greedy
441,0,Epsilon-Greedy
442,1,Epsilon-Greedy
443,1,Epsilon-Greedy
444,1,Epsilon-Greedy
445,1,Epsilon-Greedy
446,0,Epsilon-Greedy
447,1,Epsilon-Greedy
448,1,Epsilon-Greedy
449,0,Epsilon-Greedy
450,0,Epsilon-Greedy
451,1,Epsilon-Greedy
452,1,Epsilon-Greedy
453,1,Epsilon-Greedy
454,0,Epsilon-Greedy
455,1,Epsilon-Greedy
456,0,Epsilon-Greedy
457,1,Epsilon-Greedy
458,1,Epsilon-Greedy
459,1,Epsilon-Greedy
460,1,Epsilon-Greedy
461,1,Epsilon-Greedy
462,1,Epsilon-Greedy
463,1,Epsilon-Greedy
464,0,Epsilon-Greedy
465,0,Epsilon-Greedy
466,0,Epsilon-Greedy
467,1,Epsilon-Greedy
468,1,Epsilon-Greedy
469,1,Epsilon-Greedy
470,1,Epsilon-Greedy
471,1,Epsilon-Greedy
472,0,Epsilon-Greedy
473,1,Epsilon-Greedy
474,1,Epsilon-Greedy
475,1,Epsilon-Greedy
476,1,Epsilon-Greedy
477,1,Epsilon-Greedy
478,1,Epsilon-Greedy
479,1,Epsilon-Greedy
480,1,Epsilon-Greedy
481,1,Epsilon-Greedy
482,1,Epsilon-Greedy
483,1,Epsilon-Greedy
484,1,Epsilon-Greedy
485,0,Epsilon-Greedy
486,1,Epsilon-Greedy
487,1,Epsilon-Greedy
488,1,Epsilon-Greedy
489,1,Epsilon-Greedy
